,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.94560454,0.006692037554317812,0.12728,0.010848115043637769,8.955601603984833,1.7860080763920874
RandomForest,0.9307717000000001,0.008894588181023323,0.14898999999999998,0.012762049208493125,2.391480252742767,0.3395968856226545
CatBoost,0.92887104,0.008111520244590395,0.14629999999999999,0.01153819743287486,4.608851878643036,0.757131897690376
L-SLR,0.927818,0.010034524889599895,0.13113000000000002,0.012038816387004164,0.15033480882644654,0.06859457760801142
XGBoost,0.9220090400000003,0.008284052329530518,0.15691,0.012139270983053308,1.4593037056922913,0.2622630216497585
SLR,0.9113296600000002,0.016877946178501704,0.14128,0.013970025053664004,17.147119846343994,1.6465001049529093
