,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.98162302,0.0038145380794534006,0.06852,0.008825508483934508,8.469955024719239,0.6235659945608025
SLR,0.97417484,0.007651719791942197,0.07982999999999998,0.013773928270468088,19.97703037261963,4.508712984278275
CatBoost,0.9726021199999999,0.005386182186447087,0.08693999999999999,0.011263942471444001,6.976147639751434,1.1942499425671318
RandomForest,0.96770272,0.0071934804233833825,0.09528,0.014164095452940156,4.0138709831237795,0.6840034603121355
XGBoost,0.96495888,0.006120452155323166,0.09973999999999998,0.011751272271545748,1.9286289048194885,0.5154710169371465
L-SLR,0.9525776399999999,0.006971160594219584,0.11387,0.008974023623771,0.1636918306350708,0.0403626033515043
