,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.9094635624999999,0.013112744994583278,0.11606999999999999,0.010094805594958232,16.102001738548278,0.2411449522854827
L-SLR,0.8929641875000001,0.020852813075649256,0.12962,0.016780810469104287,0.18760818004608154,0.11141593561980478
CatBoost,0.8798874375,0.014856186119314692,0.14138,0.010945117632990517,5.20557502746582,1.018465301782481
RandomForest,0.8797110625000001,0.016365097509281185,0.15846,0.014280350135763478,2.959101402759552,0.588036941421271
XGBoost,0.8609923124999999,0.019402857737026307,0.14825999999999998,0.011863911665213963,0.9040176630020141,0.23621574211306026
SLR,0.8214076250000001,0.04744744876390221,0.15094000000000002,0.01263077194790564,8.694000134468078,1.8835941114206212
