,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.82289644,0.015508003163734529,0.25630000000000003,0.01516608057475629,30.715828039646148,0.8903042012343846
L-SLR,0.82053076,0.02594126080942097,0.25831,0.024175895019626473,0.19039155006408692,0.08411553486381895
RandomForest,0.7921838200000001,0.01989247921621637,0.27963000000000005,0.017153224186723607,3.2147258520126343,0.6696026198752075
CatBoost,0.7839625999999998,0.020288804024880324,0.28867,0.017797221693286843,8.404507522583009,1.475861873319648
SLR,0.7799594000000001,0.04296241436185821,0.28944,0.035162855401687725,30.80284035921097,4.5364227473875065
XGBoost,0.7742932400000001,0.019013017197236214,0.29522000000000004,0.01791512210396569,1.9285726165771484,0.4958909601013242
