,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.96395332,0.006661322818900158,0.09661,0.011074199745354063,8.942461712360382,4.626252265838222
SLR,0.96242012,0.0077296721680547575,0.09020999999999998,0.011806180584761527,31.885937130451204,2.346111907746243
CatBoost,0.9365958799999998,0.009998524458418867,0.13119000000000003,0.012940397984606191,7.296473159790039,1.3438026313664972
XGBoost,0.9253787600000001,0.011540818101954472,0.14367,0.014341586383660627,2.244473695755005,0.53994162091814
RandomForest,0.9187848,0.010282590358465125,0.14644000000000001,0.012967898827489362,3.8206348752975465,0.6954383591578276
L-SLR,0.8736983599999998,0.013121227443741678,0.18421000000000004,0.015626448732837542,0.17313329696655275,0.07223770675294473
