,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.8182024399999999,0.019507006346602764,0.25914,0.02015887893708378,65.7895737695694,1.2821942584515287
L-SLR,0.8095894,0.042637228471372295,0.26737,0.03591062656094989,1.6057170939445495,0.7573711534004625
CatBoost,0.7725028800000001,0.022499203250462004,0.2962,0.020077848490313896,16.492543306350708,2.562398756943673
RandomForest,0.7685790400000001,0.026718964055486887,0.30034,0.022716610662684697,3.2537795639038087,0.6435925360574346
XGBoost,0.7613811799999999,0.023833578868638256,0.30541,0.02204046052150454,3.724853115081787,0.7005150678003269
SLR,0.7422870399999999,0.04658740480471519,0.32153999999999994,0.039270961281842855,238.99535228967667,31.565025579967624
