iter	Logloss
0	0.6769405029
1	0.6618027588
2	0.6491201416
3	0.6375365967
4	0.62708125
5	0.6170011963
6	0.6079064453
7	0.5992915771
8	0.5907433105
9	0.5825294922
10	0.5742590576
11	0.5665407227
12	0.5597644287
13	0.5531321289
14	0.5464560791
15	0.540703125
16	0.5349555664
17	0.5286501221
18	0.5235054443
19	0.518361084
20	0.513355127
21	0.5084975342
22	0.5036370605
23	0.4991734375
24	0.4950508789
25	0.4909940918
26	0.4870712646
27	0.4834316895
28	0.4799719482
29	0.4765442627
30	0.4729847412
31	0.4696591064
32	0.466596167
33	0.4634317383
34	0.460390918
35	0.4575500977
36	0.4544437012
37	0.4515769287
38	0.4487484619
39	0.4461806152
40	0.4437156738
41	0.4413577148
42	0.4391699707
43	0.4369296631
44	0.4347883057
45	0.4326108398
46	0.4304660156
47	0.4285162109
48	0.42648479
49	0.4244251953
50	0.4225865479
51	0.4209111938
52	0.4191739746
53	0.4174744751
54	0.4158622314
55	0.4140855957
56	0.4124384521
57	0.4109626465
58	0.4093899292
59	0.4079048828
60	0.4064083252
61	0.4050364502
62	0.4036323975
63	0.4021970947
64	0.4008324585
65	0.3996738525
66	0.3983741455
67	0.397106604
68	0.395781897
69	0.394590625
70	0.3934830078
71	0.3922578491
72	0.3910641357
73	0.3899355713
74	0.3886864014
75	0.3876240234
76	0.3866000854
77	0.3856709961
78	0.384745752
79	0.3837811646
80	0.3828203857
81	0.3818327515
82	0.3809132813
83	0.3799384277
84	0.3790599854
85	0.3781136475
86	0.3772215576
87	0.376354834
88	0.3754871094
89	0.3746688965
90	0.3738364136
91	0.3730673828
92	0.3721777222
93	0.3713941895
94	0.37068302
95	0.3700107788
96	0.3692610474
97	0.3685091675
98	0.3677690552
99	0.3670602539
100	0.3662742187
101	0.3654718018
102	0.3647538452
103	0.3640566406
104	0.3633478882
105	0.3627719482
106	0.3620919189
107	0.3614931641
108	0.3608383179
109	0.3601825195
110	0.3594696167
111	0.3588797241
112	0.3581279907
113	0.3575593628
114	0.3568967285
115	0.356233252
116	0.3556129517
117	0.3549890625
118	0.3543622925
119	0.3537180054
120	0.3531622681
121	0.3525617432
122	0.3519880493
123	0.3514078125
124	0.3508908447
125	0.3503400269
126	0.3498239624
127	0.3492911255
128	0.3487297729
129	0.3482139893
130	0.3477003662
131	0.3471935913
132	0.3467232666
133	0.34624552
134	0.3457679443
135	0.3453208252
136	0.3448713623
137	0.3443431641
138	0.3439133301
139	0.3434806274
140	0.343040625
141	0.3425479858
142	0.3421387939
143	0.3416528442
144	0.3412036377
145	0.3408097046
146	0.3403800293
147	0.3399395874
148	0.3395643677
149	0.339173999
150	0.3387605225
151	0.338398584
152	0.3379882324
153	0.3376269897
154	0.3372404297
155	0.3368768311
156	0.3364830566
157	0.3361077271
158	0.3356803589
159	0.3353152954
160	0.3349164551
161	0.3345567139
162	0.3342162354
163	0.3338686401
164	0.333510791
165	0.3331405762
166	0.3327163086
167	0.3323893921
168	0.3320809692
169	0.3317427368
170	0.3314323853
171	0.3310651733
172	0.3307510498
173	0.3304470947
174	0.3301112549
175	0.3297736206
176	0.3294533203
177	0.3291638916
178	0.3288560791
179	0.3285449951
180	0.3282393433
181	0.3279194336
182	0.3276102417
183	0.3272985229
184	0.3270223633
185	0.3267520874
186	0.326463501
187	0.3261520752
188	0.325871167
189	0.3255732422
190	0.3252932129
191	0.3250236572
192	0.3247508667
193	0.3244164307
194	0.3241304443
195	0.3238457764
196	0.3236064087
197	0.3233138428
198	0.3230408936
199	0.3228002686
