,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.82476551,0.0127917366991312,0.25939500000000004,0.014551253382440983,19.08470786333084,0.9292009032896766
CatBoost,0.8200032300000001,0.014331790612031006,0.25768,0.016098372588556894,2.226121863126755,0.44074149114125166
RandomForest,0.8128019900000001,0.016313308329701248,0.25799,0.017067803022064676,2.7663381576538084,0.5268251761596707
L-SLR,0.8110489599999999,0.019062573136866913,0.27623,0.02442124280211799,0.12483402252197266,0.0303729754191498
XGBoost,0.8104656299999999,0.016265366214232625,0.26681,0.01738142399229706,0.5364537799358368,0.1368067331323446
SLR,0.79528829,0.025427688981421406,0.29111,0.02969676581717275,2.491783437728882,11.584494376645235
