,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.77539248,0.01761531952959128,0.28264999999999996,0.015504434849422913,3.720076777935028,0.40281564456827257
CatBoost,0.76252797,0.018124966729323944,0.29676499999999995,0.017545933289511845,1.1929325699806212,0.11688070424488084
XGBoost,0.7564478700000001,0.02021845110098941,0.30138,0.019669153515085497,0.3025697755813599,0.04453554347425963
RandomForest,0.75574771,0.01728047703554216,0.30515000000000003,0.01580308514183228,1.4936608862876892,0.17523446501148326
SLR,0.6369672,0.03001903667541649,0.385565,0.024513991413068578,568.393644093275,112.70548852553092
L-SLR,0.60921112,0.04096857138424038,0.41836999999999996,0.0379221979848215,0.11577789187431335,0.061645050764902
