,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.9384412399999998,0.008097986237479047,0.13618000000000002,0.01170160672728322,15.331450266589982,0.4569449398442337
RandomForest,0.9226114400000003,0.012078747991675305,0.15818,0.01597020976693794,2.9934782337700745,0.6204619884892303
CatBoost,0.9168824000000001,0.011699937080172697,0.16301000000000002,0.014675486363320297,4.596216840710058,0.8899427822867595
L-SLR,0.9120934799999999,0.018568473683359107,0.15299,0.034179085710416536,0.07164706363000732,0.04312182484377803
XGBoost,0.90374854,0.014035834068141453,0.17872,0.017031782055909477,1.13161870860009,0.32079209872089837
SLR,0.86854902,0.027936930116954497,0.19248999999999994,0.04715644070537979,0.11328396978002274,0.02226684354909233
