,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.9097256874999999,0.013496050952935042,0.1164,0.010337311062360464,15.26535470401992,0.2993518573681666
L-SLR,0.9008698124999996,0.017945597781363228,0.12089000000000003,0.01422455271704527,0.09664842558999226,0.16368080851070552
RandomForest,0.87895725,0.016620763968555635,0.15944,0.01540020779080594,3.044613517480102,0.611884685853547
CatBoost,0.8785631250000001,0.017033318968366823,0.14128,0.011092411820699768,4.3906411658100115,0.827099689381728
XGBoost,0.86212253125,0.018772682037416225,0.14822999999999997,0.011639463046034382,0.9197884040800818,0.236125128157792
SLR,0.7779729375,0.04757095166617735,0.16330000000000003,0.025816467612746714,0.1235382771699915,0.02609463941565981
