,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.82270482,0.02118920619956302,0.25661,0.021931664323530033,75.55609080244999,3.2287147464830603
CatBoost,0.7736977199999999,0.023440298832600227,0.29627,0.01951453560810505,18.85305726172013,3.0916075978116218
RandomForest,0.77221988,0.024464159060666693,0.2975999999999999,0.020438199529312754,3.8810007181102266,0.7014800737392333
L-SLR,0.7659213800000002,0.04857130014952863,0.31611,0.03411946511890244,0.1437441597801444,0.03368775631328725
XGBoost,0.7643115200000001,0.02224970094382394,0.30375,0.018787961571176372,4.238663926919871,0.714034770981263
SLR,0.73665432,0.05348413909242254,0.33403000000000005,0.03779509359692075,1.5332859996601838,0.2130377729132843
