,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.8274469000000001,0.015999844817684957,0.25215,0.015422305275152613,29.071800349039894,1.1131010826939238
L-SLR,0.8036392800000001,0.025854049019091774,0.28604,0.03105669654035986,0.6346742354100025,5.287344899971285
RandomForest,0.7957536599999999,0.018054923284367624,0.27724,0.017169228287841006,3.59117238462004,0.7226269509270983
CatBoost,0.78804788,0.020375236659867294,0.28462,0.017632231849655327,7.637258808000042,1.2944808921055164
XGBoost,0.77449608,0.021319598390063543,0.29403,0.01813309405479385,2.1370768599701297,0.5179143662746483
SLR,0.7473458800000001,0.04822042937827907,0.33059999999999995,0.032390121950989934,0.21986115460984365,0.04089497407802919
