,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.9710166800000001,0.005607503916859983,0.09004999999999999,0.010315401107082556,15.260122590449974,0.27748920910508457
CatBoost,0.9585350800000001,0.008812818352468183,0.11214,0.01591667050610774,4.266670481490055,0.7488121013504077
RandomForest,0.9577419999999998,0.010666058882267614,0.11505000000000001,0.019523511466946718,3.0037401615499495,0.6543905365996141
SLR,0.9540319199999999,0.019789718787127826,0.11044000000000001,0.02633033231844976,0.1081374937900091,0.024051634828168727
XGBoost,0.9454765999999999,0.009466209368062802,0.13039000000000003,0.01539733418485161,0.96953357426004,0.27470729987447046
L-SLR,0.936992,0.017690882352217482,0.13521999999999998,0.02749239167478886,1.220121276420059,5.616528680017189
