,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.91661306,0.00951346230330472,0.16354999999999997,0.013323194061485407,16.413532937560007,1.7335377601468347
L-SLR,0.9094272800000001,0.013874487912769969,0.17229999999999998,0.018317477992343817,0.07833837156000527,0.04459902664168089
RandomForest,0.8929722000000002,0.01320438863560142,0.19018999999999994,0.015971659275103512,3.3996448670200268,0.9456479652363643
CatBoost,0.8881326799999999,0.011529240170002527,0.19451999999999997,0.014206674487718793,4.808482999189973,1.2085840327520234
XGBoost,0.87393954,0.013114352155878686,0.20933,0.015102354121129593,1.2271656366599724,0.36548634183358797
SLR,0.8225955399999999,0.03352662434287711,0.25794000000000006,0.03636806841172625,0.1312132297300036,0.046877253947251896
