,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.9340703599999999,0.011236193662909167,0.13442,0.013839205179489172,15.244841443719942,0.33512280203825895
SLR,0.9249874600000002,0.019341977383618248,0.14327,0.03196806375118768,0.1075891473000047,0.022553351611714838
CatBoost,0.90416724,0.011655036798843669,0.16927000000000003,0.014725389638308386,4.583699493959975,0.9164311353081006
RandomForest,0.8970475800000002,0.011914658562611022,0.17107999999999998,0.014796404968775354,3.0329124862999923,0.6876981919406089
XGBoost,0.8905715999999999,0.012414616040780306,0.18530999999999997,0.016680344720658505,1.0943032530199708,0.28792125287086406
L-SLR,0.85407128,0.020308823094448383,0.21574000000000004,0.035930104369455984,0.0595184948599308,0.01245065529872785
