,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.8274360799999998,0.01587057085279543,0.25229,0.015790056997997192,2.1860949521476867,0.06346148352999999
L-SLR,0.8036392800000001,0.025854049019091774,0.28604,0.03105669654035986,0.39069760759710337,3.5120053747704536
RandomForest,0.7957536599999999,0.018054923284367624,0.27724,0.017169228287841006,1.7080862398585304,0.16941362416217232
CatBoost,0.78804788,0.020375236659867294,0.28462,0.017632231849655327,3.953731467456091,0.6089017148500873
XGBoost,0.77449608,0.021319598390063543,0.29403,0.01813309405479385,0.9663668912532739,0.11221505906375175
SLR,0.7473458800000001,0.04822042937827907,0.33059999999999995,0.032390121950989934,0.109753535927739,0.008779189188908031
