,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.92452984,0.007596895753819444,0.15411000000000002,0.011168612268316955,1.9019114341330714,0.23570498752803926
L-SLR,0.9205230799999999,0.00794519833569937,0.16043,0.011432633117528087,0.03551314210286364,0.003274303923973099
CatBoost,0.90880764,0.009210426892951254,0.17285000000000003,0.011925078616093059,3.1074496801628264,0.410780590429672
RandomForest,0.9063121600000001,0.008339844567760244,0.17524000000000003,0.011127551392826724,2.1062133749073837,0.24358885367848981
SLR,0.90275114,0.015834097004262672,0.18152000000000001,0.014948899625056017,0.18019915342098103,0.031982536659326134
XGBoost,0.8983666000000001,0.010573756000589372,0.18450999999999998,0.014442641725113866,1.1592359772336203,0.13919686864423403
