,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.93407332,0.011198902461295039,0.13439,0.01398205635806121,1.1028341767424719,0.05313139437058213
SLR,0.9249874600000002,0.019341977383618248,0.14327,0.03196806375118768,0.0543972433952149,0.003850819055062394
CatBoost,0.90416724,0.011655036798843669,0.16927000000000003,0.014725389638308386,2.4059083620342427,0.36667125789855126
RandomForest,0.8970475800000002,0.011914658562611022,0.17107999999999998,0.014796404968775354,1.502288091115188,0.1709613111719992
XGBoost,0.8905715999999999,0.012414616040780306,0.18530999999999997,0.016680344720658505,0.5751970859966241,0.08616278641021057
L-SLR,0.85407128,0.020308823094448383,0.21574000000000004,0.035930104369455984,0.029824830426368864,0.0014932691927351802
