,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.9166157599999998,0.009491827488023592,0.16377999999999995,0.013279743973435633,1.1006419155281038,0.052309626981046645
L-SLR,0.9094272800000001,0.013874487912769969,0.17229999999999998,0.018317477992343817,0.03168402089970186,0.007742306552833765
RandomForest,0.8929722000000002,0.01320438863560142,0.19018999999999994,0.015971659275103512,1.5139556925708895,0.16845593546494572
CatBoost,0.8881326799999999,0.011529240170002527,0.19451999999999997,0.014206674487718793,2.264030014581513,0.2961221606971725
XGBoost,0.87393954,0.013114352155878686,0.20933,0.015102354121129593,0.6100437309092377,0.09476449799086477
SLR,0.8225955399999999,0.03352662434287711,0.25794000000000006,0.03636806841172625,0.05825101840076968,0.004307469275162343
