,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.94414562,0.00718915902561627,0.12727,0.011526365428876528,1.8300961412163452,0.06213517729721937
RandomForest,0.9316834200000002,0.008382240518119255,0.14767000000000002,0.012439497578278632,2.118561391931726,0.2426467594833794
CatBoost,0.9286877199999999,0.007833744264500838,0.14626,0.010924852401748958,3.3167502416693604,0.5010962611569708
L-SLR,0.92559428,0.009539284086429132,0.13593,0.014344514631035794,0.034663572770077734,0.00121577850766438
XGBoost,0.9218490800000001,0.008696655372820062,0.15681,0.012516944515336002,1.1354630665876904,0.110272782830963
SLR,0.9057281599999998,0.02094454200345283,0.15003999999999998,0.018929300039885258,0.15686251539736987,0.042350840199712796
