,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.8452984399999999,0.019372277773313074,0.24217000000000002,0.020974296174127036,1.0988654284994117,0.0522701330738313
SLR,0.83550296,0.04846536804150362,0.24376,0.06628908205730413,0.0669189353811089,0.006136255596372712
RandomForest,0.83346682,0.025593178131830374,0.24893,0.025572741346988982,1.5983831566933078,0.18791074867742089
CatBoost,0.8186689199999999,0.02309942806464262,0.26227000000000006,0.023067663514105628,2.2343186492729,0.2989966629487563
XGBoost,0.7840928199999999,0.020683034587980546,0.29168999999999995,0.019363209961160876,0.6088005144603085,0.06385514919722643
L-SLR,0.5007318000000001,0.013403449399315086,0.49682999999999994,0.011637057188138249,0.028820459224516527,0.0017214029284345822
