,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
SLR,0.89291052,0.014946890733848294,0.18666,0.01578177429822135,0.27723089219885877,0.04508710612416699
TabPFN,0.8877291000000003,0.011257857051410802,0.19515000000000007,0.012781529642417607,1.8760614430939313,0.09792832768004876
CatBoost,0.87019188,0.014708189658336623,0.21294999999999994,0.01681925979346297,3.19513978177798,0.384322004074119
RandomForest,0.8662156799999998,0.015188497834137525,0.21721000000000001,0.01778555312606274,2.474549353431212,0.2872943617471777
XGBoost,0.8486138400000001,0.015557483448630118,0.23437000000000005,0.017021548108206844,1.2252342656988184,0.165485035477162
L-SLR,0.4983511199999999,0.014172932868873686,0.49942,0.011784040054242865,0.03178438097704202,0.0019087372360613098
