,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.9614477600000001,0.006089477109112077,0.10674999999999997,0.011134967444945675,2.874939298869576,0.0494848344668861
CatBoost,0.9466183200000002,0.00795030859637537,0.12804999999999997,0.013031788058436187,6.079014032909181,0.9134919009531742
RandomForest,0.94317522,0.009063734880919678,0.13613,0.014051800596364863,2.5933606680459342,0.2925233410157011
XGBoost,0.94238392,0.008450195093227145,0.1346,0.013473678042761745,1.9210789781669155,0.19993027668625893
SLR,0.9270579399999999,0.014832393771620286,0.13571999999999998,0.020586927891261483,0.24372665928211062,0.020976458434455874
L-SLR,0.9122633600000001,0.01224479409015929,0.14806999999999998,0.014003038955883826,0.04926215147250332,0.005152914309578902
