,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.9626918799999999,0.006185046081121785,0.09727999999999998,0.009674791987427947,1.8141755762510001,0.061751843049434554
SLR,0.95904922,0.010243232700256304,0.09659000000000001,0.015748076072968405,27.961266041032506,125.31691529137615
CatBoost,0.9379634,0.009014368732196389,0.13018,0.011757023432825163,3.5550460401945747,0.4477218286418356
XGBoost,0.92760696,0.01005883919537439,0.14366,0.012388074910977896,1.1773762071761302,0.10990541666711891
RandomForest,0.9200804599999998,0.010451308602677461,0.14707999999999996,0.012225121676286088,2.083999804208288,0.26653468689715226
L-SLR,0.8715161999999999,0.010396188768967212,0.19107,0.01335608849925756,0.03313917019055225,0.0011659716222986551
