,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.9709416000000001,0.0060267342798567105,0.09186,0.0119549320366115,1.102669151367154,0.039969144338273435
CatBoost,0.95895612,0.008356892100870992,0.11336,0.015294783424422852,2.327307028354844,0.35385262672295176
RandomForest,0.9574563600000002,0.009273877434514643,0.11536000000000002,0.016365524739524854,1.48800690184813,0.1674355776689723
SLR,0.9554717400000001,0.017688841824506207,0.11049999999999999,0.026095401893820296,0.05397018422721885,0.004276941677531329
XGBoost,0.94718698,0.011014402565713682,0.12951000000000001,0.017264700982061634,0.5042937267874368,0.06413870241764873
L-SLR,0.9397208599999999,0.010979512729643339,0.13002,0.014630775782575576,0.0673846563952975,0.18378717135913653
