,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.9791558399999998,0.004108763314477966,0.07400000000000001,0.009200000000000002,1.8295445592189208,0.05505080888299083
SLR,0.97345442,0.007505777408343521,0.08134999999999998,0.012630419628816772,0.10782730800332502,0.015167653294162862
CatBoost,0.9721794400000001,0.0056633476183614185,0.08918999999999999,0.010803420754557326,3.291154614958214,0.45261944081951455
RandomForest,0.96654738,0.0069178043030719075,0.09851999999999998,0.013454724077438378,2.129420279157348,0.2626402129276877
XGBoost,0.9641566800000001,0.006834043226202187,0.10221999999999999,0.012799671870794189,0.9769156066258438,0.0941309274618611
L-SLR,0.9516343199999998,0.008940931874116934,0.11510000000000004,0.012666096478394598,0.03966873041121289,0.002509270529007971
