Setting,L-SLR,SLR,RandomForest,XGBoost,CatBoost,TabPFN
Setting 1,0.013985000000000025,0.046013679999999946,0.01531114,0.025716480000000153,0.019718799999999925,0.010249620000000403
Setting 2,0.002681760000000033,0.044332079999999996,0.03486064,0.06441043999999974,0.04636027999999981,0.05108073999999996
Setting 3,0.015792479999999998,0.013397759999999814,0.008236580000000049,0.016722299999999968,0.011439120000000025,0.010456820000000033
Setting 4,0.024386062499999972,0.07830593749999992,0.01662993749999997,0.027407406250000044,0.024325625000000017,0.014208624999999975
Setting 5,0.014201200000000247,0.0235115800000002,0.009529739999999953,0.018556220000000234,0.013215239999999961,0.009115660000000081
Setting 6,0.015032120000000093,0.01744785999999998,0.01812619999999998,0.033201060000000227,0.030486239999999776,0.027440220000000237
Setting 7,0.01720383999999986,0.030710759999999837,0.026005039999999813,0.03251303999999977,0.033142520000000064,0.021256799999999854
Setting 7+,0.10037107999999983,0.19624135999999992,0.1718024199999999,0.17999366000000017,0.1733282399999999,0.14280316000000015
