,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.8495689333333332,0.015456255956587778,0.21830000000000005,0.013599387241097789,98.54207655588786,5.769041484081762
CatBoost,0.8274309333333334,0.014446043165133085,0.22963333333333333,0.012552511922143532,7.692610947291056,1.4102176742012074
XGBoost,0.8184953333333334,0.015384548294383633,0.24073333333333333,0.016794708161269798,1.8112605969111124,0.3831599166914729
RandomForest,0.7670470666666666,0.03343288288589876,0.29116666666666663,0.03630618251605212,3.1136264562606812,0.6525222717396404
L-SLR,0.5230858,0.02603328030732969,0.4829333333333333,0.021075947322850182,10.155463163057963,2.8014848354026354
SLR,0.5156607999999999,0.02510052570817326,0.49116666666666664,0.017546287989834843,732.0485412836075,13.205236008973367
