,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
SLR,0.87488992,0.025845729151130543,0.20962,0.021382600403131516,8.227910120487213,1.9655199932295448
TabPFN,0.84619762,0.019041703704647868,0.24083,0.019355131102630124,16.099810605049132,0.3707235986378342
RandomForest,0.82986642,0.0233162630132618,0.25222000000000006,0.024112478097449874,3.106011109352112,0.8213589626209926
CatBoost,0.8208869599999999,0.02239534076272117,0.25936,0.02137265542697023,5.22320752620697,1.224395820866973
XGBoost,0.7837570400000001,0.020464802080606588,0.29223,0.019150381197250353,1.1586057925224305,0.38442911495582793
L-SLR,0.49849132000000007,0.013844390194501165,0.49866999999999995,0.012403269730196157,0.06284173965454101,0.018120056204892102
