,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
SLR,0.9192219999999999,0.009081796923516862,0.16032999999999997,0.011928164150446622,18.994985272884367,1.5762147267973907
TabPFN,0.8972783599999999,0.010506058546876657,0.18454,0.0125971584097367,8.499928517341614,1.740756312900511
CatBoost,0.8672472399999998,0.016511535639739863,0.21503,0.01756556574665331,6.94589380979538,1.1598223837809356
RandomForest,0.86472706,0.017130005969537787,0.21818000000000004,0.018810837301938478,4.459329466819764,0.8392785253906344
XGBoost,0.8481674799999999,0.015813796636152868,0.23454000000000005,0.016748982058620757,2.318158051967621,0.5673813569287894
L-SLR,0.50117308,0.016586238053084856,0.49696999999999997,0.014064462307532421,0.09923997402191162,0.023021638519417978
