,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.9236721875,0.011808486516425113,0.10565000000000001,0.009243781693657634,8.979242696762086,1.5625037204837682
L-SLR,0.9173502499999999,0.012589120517583822,0.11142000000000002,0.009822606578704046,0.0877539038658142,0.031046040158990172
CatBoost,0.9042130625000001,0.014244534700165495,0.12481000000000002,0.01085697471674315,4.5802166414260865,0.7636243064451671
SLR,0.8997135625,0.02806803152686288,0.11646000000000002,0.015482519174862984,10.835839183330537,1.6371870398984307
RandomForest,0.896341,0.014415702710065854,0.14983000000000002,0.01866550561865389,2.4694542598724367,0.399437879655044
XGBoost,0.8883997187499999,0.015716273712097106,0.13182,0.009210190008897752,1.2758297109603882,0.2529388162838822
