,iteration,message,category,filename,lineno
37,37,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
38,38,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
39,39,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
40,40,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
41,41,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
42,42,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
43,43,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
44,44,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
45,45,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
46,46,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
47,47,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
48,48,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
49,49,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
50,50,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
51,51,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
52,52,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
53,53,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
54,54,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
55,55,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
56,56,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
57,57,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
58,58,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
59,59,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
60,60,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
61,61,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
62,62,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
63,63,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
64,64,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
65,65,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
66,66,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
67,67,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
68,68,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
69,69,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
70,70,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
71,71,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
72,72,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
73,73,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
74,74,TabPFNClassifier(n_jobs=...) is deprecated and has no effect. Use `n_preprocessing_jobs` instead.,DeprecationWarning,/tmp/ipykernel_4789/1155084085.py,258
