,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.9711661999999999,0.006229377198404351,0.08823,0.010925067505512268,16.081312325000763,0.5345775098944364
CatBoost,0.9611630000000001,0.008466579670681654,0.10732000000000001,0.012900294570280168,5.1838733983039855,1.0882051762784823
SLR,0.9607770800000002,0.009923727910095076,0.10082999999999999,0.013859332595763767,9.424525187015533,1.7047867081027746
RandomForest,0.95946614,0.009363426143266157,0.11154,0.017214191819542386,2.854431595802307,0.5575787270697355
XGBoost,0.9482365800000001,0.009258009277571517,0.12618000000000001,0.014387063633695374,0.8990513443946838,0.21611842552021424
L-SLR,0.93678516,0.015393799565227562,0.13179999999999997,0.01760340876080539,0.19595158338546753,0.07996913890794528
