,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.9149721999999997,0.009868619119208123,0.16645,0.012291765536325527,15.922141678333283,0.4756037895420415
L-SLR,0.9064582400000001,0.012746820357344021,0.17535999999999993,0.014970985271517705,0.1072161078453064,0.05444943633573554
RandomForest,0.88971096,0.01492647921106648,0.19210000000000002,0.017140886791528614,2.937372856140137,0.6175910121498267
CatBoost,0.8878473200000001,0.013045689127738711,0.19537,0.013819301718972634,5.056963193416595,1.0530737555703205
XGBoost,0.8714494399999998,0.015182744144798064,0.21290000000000006,0.016635804759614126,1.0722647666931153,0.2952235897516303
SLR,0.86972656,0.03547921713914217,0.20645000000000002,0.031150080256718442,7.9629597663879395,1.561031981288331
