,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.856923612,0.011890905568940326,0.21307,0.013248286681680767,12.490402440776117,2.3418127545708205
CatBoost,0.8437337319999999,0.012896297551785,0.21883800000000003,0.014085444827906574,8.725145641827956,1.681634667163842
XGBoost,0.836608904,0.013890038046844366,0.22889600000000002,0.015234604819292162,3.000230734808836,0.6433028623251392
RandomForest,0.812200284,0.018818408011501503,0.247934,0.02089386618125042,2.632617799144704,0.49658187918433094
L-SLR,0.749787548,0.04737465782221225,0.30058799999999997,0.040288388600190995,85.03449609854538,155.73411881973072
SLR,0.57022112,0.02735366045430849,0.43766999999999995,0.02752637099219583,1000.8143721840144,1588.0982780917172
