,AUC_Mean,AUC_Std,MSE_Mean,MSE_Std,Time_Mean,Time_Std
TabPFN,0.823425208,0.01290648026553855,0.260336,0.014905539372998216,17.745865194049433,6.141903988687319
CatBoost,0.817995272,0.015097414818107637,0.25871000000000005,0.016023666871225202,4.06700171272154,3.041202208393437
RandomForest,0.810934828,0.01697774324067884,0.25865,0.016913648334998577,45.551585083304204,8.556189335805524
L-SLR,0.810320324,0.01972041233318979,0.276712,0.028987877742256328,0.6847416465436108,0.30142396935241655
XGBoost,0.80876014,0.016340093155805445,0.26735,0.01748369240177829,9.07811410232936,7.260359890258678
SLR,0.79412334,0.021769371339852694,0.289222,0.01905583154837384,2.620413631205214,7.369471150169702
